close,pH,DO,date,time,datetime
25.937,7,97,7/8/13,25:03.6,40001 0.850736354166667
25.937,7,97,7/8/13,30:03.9,40001 0.854211597222222
25.937,7,97,7/8/13,35:03.2,40001 0.857675486111111
25.937,7,97,7/8/13,40:55.6,40001 0.861754768518519
25.937,7,97,7/8/13,45:03.9,40001 0.864628275462963
25.937,7,97,7/8/13,50:03.1,40001 0.868091701388889
25.937,7,97,7/8/13,55:03.4,40001 0.87156693287037
25.937,7,97,7/8/13,00:55.8,40001 0.875645636574074
26,7,97,7/8/13,05:04.1,40001 0.878519143518519
25.937,7,97,7/8/13,10:03.3,40001 0.881982800925926
26,7,97,7/8/13,15:03.6,40001 0.88545837962963
26,7,97,7/8/13,20:56.0,40001 0.889536736111111
26,7,97,7/8/13,25:03.3,40001 0.892398773148148
26,7,97,7/8/13,30:03.5,40001 0.895874108796296
26,7,97,7/8/13,35:03.8,40001 0.899349224537037
26,7,97,7/8/13,40:56.4,40001 0.903430717592593
26,7,97,7/8/13,45:03.7,40001 0.906292523148148
26,7,97,7/8/13,50:04.0,40001 0.909767986111111
26,7,97,7/8/13,55:03.2,40001 0.913231631944444
26,7,97,7/8/13,00:55.9,40001 0.917313923611111
26,7,97,7/8/13,05:03.2,40001 0.920175972222222
26.062,7,97,7/8/13,10:03.5,40001 0.923651319444444
26.062,7,97,7/8/13,15:03.7,40001 0.927126655092593
26,7,97,7/8/13,20:56.2,40001 0.931206157407407
26,7,97,7/8/13,25:03.5,40001 0.934067974537037
26,7,97,7/8/13,30:03.7,40001 0.937543333333333
26.062,7,97,7/8/13,35:04.0,40001 0.941018888888889
26.062,7,97,7/8/13,40:56.8,40001 0.945102337962963
26.062,7,97,7/8/13,45:04.1,40001 0.947964270833333
26.062,7,97,7/8/13,50:03.4,40001 0.951427939814815
26.062,7,97,7/8/13,55:03.7,40001 0.954903506944444
26.062,7,97,7/8/13,00:56.3,40001 0.958985104166667
26.062,7,97,7/8/13,05:03.6,40001 0.961847141203704
26.062,7,97,7/8/13,10:03.9,40001 0.965322372685185
26.062,7,97,7/8/13,15:03.1,40001 0.968786145833333
26.062,7,97,7/8/13,21:00.4,40001 0.972921747685185
26.062,7,97,7/8/13,25:06.3,40001 0.975767534722222
26.062,7,97,7/8/13,30:06.3,40001 0.979239571759259
26.062,7,97,7/8/13,35:06.3,40001 0.982711469907407
26.062,7,97,7/8/13,41:01.3,40001 0.986820717592593
26.062,7,97,7/8/13,45:06.3,40001 0.98965619212963
26.062,7,97,7/8/13,50:06.3,40001 0.993128391203704
26.062,7,97,7/8/13,55:06.2,40001 0.996599803240741
26.062,7,97,7/9/13,01:01.7,40002 0.000713819444444444
26.125,7,97,7/9/13,05:06.7,40002 0.00355028935185185
26.125,7,97,7/9/13,10:06.6,40002 0.00702100694444445
26.125,7,97,7/9/13,15:06.4,40002 0.0104912384259259
26.125,7,97,7/9/13,21:01.0,40002 0.0145952199074074
26.125,7,97,7/9/13,25:05.7,40002 0.0174276157407407
26.125,7,97,7/9/13,30:06.6,40002 0.0209101273148148
26.125,7,97,7/9/13,35:06.5,40002 0.0243804513888889
26.125,7,97,7/9/13,41:01.0,40002 0.0284843518518518
26.125,7,97,7/9/13,45:05.9,40002 0.0313187268518519
26.125,7,97,7/9/13,50:05.8,40002 0.034788912037037
26.125,7,97,7/9/13,55:06.5,40002 0.0382697106481482
26.125,7,97,7/9/13,01:00.8,40002 0.042370462962963
26.125,7,97,7/9/13,05:06.6,40002 0.0452157407407407
26.125,7,97,7/9/13,10:06.5,40002 0.0486861574074074
26.125,7,97,7/9/13,15:06.3,40002 0.0521563425925926
26.125,7,97,7/9/13,21:00.6,40002 0.0562566319444444
26.125,7,97,7/9/13,25:06.4,40002 0.0591022337962963
26.125,7,97,7/9/13,30:06.3,40002 0.0625726388888889
26.125,7,97,7/9/13,35:06.1,40002 0.0660433912037037
26.125,7,97,7/9/13,41:00.7,40002 0.0701474537037037
26.125,7,97,7/9/13,45:06.6,40002 0.0729934375
26.125,7,97,7/9/13,50:06.5,40002 0.0764635763888889
26.125,7,97,7/9/13,55:06.2,40002 0.0799328009259259
26.125,7,97,7/9/13,01:01.0,40002 0.0840390972222222
26.187,7,97,7/9/13,05:05.7,40002 0.0868716550925926
26.125,7,97,7/9/13,10:06.5,40002 0.0903529398148148
26.187,7,97,7/9/13,15:06.3,40002 0.0938225810185185
26.125,7,97,7/9/13,21:00.6,40002 0.0979236805555556
26.187,7,97,7/9/13,25:06.4,40002 0.100768483796296
26.125,7,97,7/9/13,30:06.2,40002 0.104237974537037
26.187,7,97,7/9/13,35:05.9,40002 0.107707546296296
26.187,7,97,7/9/13,41:00.8,40002 0.111814444444444
26.187,7,97,7/9/13,45:06.6,40002 0.114659571759259
26.187,7,97,7/9/13,50:06.4,40002 0.11812931712963
26.187,7,97,7/9/13,55:06.1,40002 0.121598472222222
26.187,7,97,7/9/13,01:00.5,40002 0.125700636574074
26.187,7,97,7/9/13,05:06.2,40002 0.128544074074074
26.187,7,97,7/9/13,10:05.9,40002 0.132012986111111
26.187,7,97,7/9/13,15:05.6,40002 0.135481898148148
26.187,7,97,7/9/13,21:01.2,40002 0.139597592592593
26.187,7,97,7/9/13,25:06.0,40002 0.142430740740741
26.187,7,97,7/9/13,30:05.8,40002 0.145900451388889
26.187,7,97,7/9/13,35:06.5,40002 0.149380891203704
26.187,7,97,7/9/13,41:00.7,40002 0.15348087962963
26.187,7,97,7/9/13,45:06.5,40002 0.156325208333333
26.187,7,97,7/9/13,50:06.3,40002 0.159794895833333
26.187,7,97,7/9/13,55:06.0,40002 0.163263900462963
26.187,7,97,7/9/13,01:00.3,40002 0.167364363425926
26.187,7,97,7/9/13,05:06.0,40002 0.170208032407407
26.187,7,97,7/9/13,10:05.6,40002 0.173676203703704
26.187,7,97,7/9/13,15:06.4,40002 0.17715693287037
26.187,7,97,7/9/13,21:00.5,40002 0.181256331018519
26.187,7,97,7/9/13,25:06.3,40002 0.184100625
26.187,7,97,7/9/13,30:06.1,40002 0.187570277777778
26.187,7,97,7/9/13,35:05.8,40002 0.191039085648148
26.187,7,97,7/9/13,41:01.1,40002 0.19515162037037
26.187,7,97,7/9/13,45:05.7,40002 0.19798224537037
26.187,7,97,7/9/13,50:06.4,40002 0.201463333333333
26.187,7,97,7/9/13,55:06.2,40002 0.204932581018519
26.25,7,97,7/9/13,01:00.8,40002 0.209036909722222
26.25,7,97,7/9/13,05:06.5,40002 0.211880856481481
26.25,7,97,7/9/13,10:06.2,40002 0.215349675925926
26.25,7,97,7/9/13,15:05.8,40002 0.218816967592593
26.25,7,97,7/9/13,21:00.0,40002 0.222917199074074
26.187,7,97,7/9/13,25:05.7,40002 0.225760729166667
26.25,7,97,7/9/13,30:06.4,40002 0.229240914351852
26.25,7,97,7/9/13,35:06.1,40002 0.232709525462963
26.25,7,97,7/9/13,41:00.5,40002 0.236811608796296
26.187,7,97,7/9/13,45:06.2,40002 0.239655613425926
26.25,7,97,7/9/13,50:05.9,40002 0.243124155092593
26.25,7,97,7/9/13,55:05.6,40002 0.246592962962963
26.25,7,97,7/9/13,01:00.8,40002 0.250703854166667
26.25,7,97,7/9/13,05:06.5,40002 0.253547534722222
26.25,7,97,7/9/13,10:06.2,40002 0.257015983796296
26.25,7,97,7/9/13,15:05.7,40002 0.260482696759259
26.25,7,97,7/9/13,21:00.3,40002 0.264587094907407
26.25,7,97,7/9/13,25:06.4,40002 0.267435023148148
26.25,7,97,7/9/13,30:04.9,40002 0.270889872685185
26.25,7,97,7/9/13,35:03.1,40002 0.274341655092593
26.25,7,97,7/9/13,40:55.4,40002 0.278418622685185
26.25,7,97,7/9/13,45:03.6,40002 0.281291655092593
26.25,7,97,7/9/13,50:03.8,40002 0.284766539351852
26.25,7,97,7/9/13,55:04.0,40002 0.288241296296296
26.25,7,97,7/9/13,00:55.2,40002 0.292306111111111
26.25,7,97,7/9/13,05:03.5,40002 0.295179363425926
26.25,7,97,7/9/13,10:03.7,40002 0.298654363425926
26.25,7,97,7/9/13,15:04.0,40002 0.302129236111111
26.25,7,97,7/9/13,20:55.4,40002 0.306197280092593
26.25,7,97,7/9/13,25:03.7,40002 0.309070208333333
26.25,7,97,7/9/13,30:03.9,40002 0.312545208333333
26.25,7,97,7/9/13,35:03.1,40002 0.316008506944444
26.25,7,97,7/9/13,40:55.4,40002 0.320085474537037
26.25,7,97,7/9/13,45:03.6,40002 0.322958518518518
26.25,7,97,7/9/13,50:03.8,40002 0.326433275462963
26.25,7,97,7/9/13,55:04.1,40002 0.329908148148148
26.25,7,97,7/9/13,00:55.4,40002 0.333974548611111
26.25,7,97,7/9/13,05:03.6,40002 0.336847581018519
26.25,7,97,7/9/13,10:03.8,40002 0.340322118055556
26.25,7,97,7/9/13,15:04.1,40002 0.343796886574074
26.25,7,97,7/9/13,20:55.4,40002 0.347863078703704
26.25,7,97,7/9/13,25:03.6,40002 0.350736111111111
26.25,7,97,7/9/13,30:03.9,40002 0.354211226851852
26.25,7,97,7/9/13,35:04.0,40002 0.357685763888889
26.25,7,97,7/9/13,40:55.2,40002 0.361750578703704
26.312,7,97,7/9/13,45:03.5,40002 0.36462337962963
26.25,7,97,7/9/13,50:03.7,40002 0.368098171296296
26.312,7,97,7/9/13,55:03.9,40002 0.3715728125
26.25,7,97,7/9/13,00:55.3,40002 0.375640416666667
26.312,7,97,7/9/13,05:03.6,40002 0.378513796296296
26.312,7,97,7/9/13,10:03.8,40002 0.381988668981481
26.312,7,97,7/9/13,15:04.0,40002 0.385463206018519
26.312,7,97,7/9/13,20:55.4,40002 0.389530671296296
26.312,7,97,7/9/13,25:03.7,40002 0.392403599537037
26.312,7,97,7/9/13,30:03.9,40002 0.395878472222222
26.312,7,97,7/9/13,35:03.1,40002 0.399341666666667
26.312,7,97,7/9/13,40:56.0,40002 0.403425798611111
26.312,7,97,7/9/13,45:03.2,40002 0.406287141203704
26.312,7,97,7/9/13,50:03.4,40002 0.409762141203704
26.312,7,97,7/9/13,55:03.7,40002 0.413236909722222
26.312,7,97,7/9/13,00:56.0,40002 0.417315138888889
26.312,7,97,7/9/13,05:03.3,40002 0.420176597222222
26.312,7,97,7/9/13,10:03.5,40002 0.423651365740741
26.312,7,97,7/9/13,15:03.7,40002 0.427126041666667
26.375,7,97,7/9/13,20:56.3,40002 0.431207395833333
26.312,7,97,7/9/13,25:03.5,40002 0.434068518518519
26.375,7,97,7/9/13,30:03.7,40002 0.437543043981482
26.375,7,97,7/9/13,35:03.9,40002 0.441017581018519
26.375,7,97,7/9/13,40:55.1,40002 0.44508193287037
26.375,7,97,7/9/13,45:03.3,40002 0.447954849537037
26.375,7,97,7/9/13,50:03.5,40002 0.451429386574074
26.375,7,97,7/9/13,55:03.7,40002 0.45490412037037
26.375,7,97,7/9/13,00:56.0,40002 0.458981446759259
26.375,7,97,7/9/13,05:03.2,40002 0.46184255787037
26.375,7,97,7/9/13,10:03.4,40002 0.465317314814815
26.375,7,97,7/9/13,15:03.6,40002 0.468792083333333
26.375,7,97,7/9/13,20:56.2,40002 0.472872407407407
26.375,7,97,7/9/13,25:03.4,40002 0.47573375
26.375,7,97,7/9/13,30:03.6,40002 0.479208402777778
26.375,7,97,7/9/13,35:03.8,40002 0.482683043981481
26.375,7,97,7/9/13,40:56.0,40002 0.48675931712963
26.375,7,97,7/9/13,45:03.2,40002 0.489620428240741
26.375,7,97,7/9/13,50:03.4,40002 0.4930953125
26.375,7,97,7/9/13,55:03.7,40002 0.496570300925926
26.437,7,97,7/9/13,00:56.3,40002 0.500651076388889
26.437,7,97,7/9/13,05:03.5,40002 0.503512650462963
26.437,7,97,7/9/13,10:03.7,40002 0.506987766203704
26.437,7,97,7/9/13,15:04.0,40002 0.510462997685185
26.437,7,97,7/9/13,20:55.6,40002 0.51453244212963
26.437,7,97,7/9/13,25:03.9,40002 0.5174059375
26.437,7,97,7/9/13,30:03.1,40002 0.520869710648148
26.437,7,97,7/9/13,35:03.4,40002 0.52434494212963
26.437,7,97,7/9/13,40:55.6,40002 0.528421446759259
26.437,7,97,7/9/13,45:03.9,40002 0.531294722222222
26.437,7,97,7/9/13,50:03.1,40002 0.534758252314815
26.437,7,97,7/9/13,55:03.3,40002 0.538233136574074
26.437,7,97,7/9/13,00:55.6,40002 0.542309872685185
26.5,7,97,7/9/13,05:03.8,40002 0.545183020833333
26.437,7,97,7/9/13,10:04.1,40002 0.548658472222222
26.437,7,97,7/9/13,15:03.3,40002 0.552122025462963
26.5,7,97,7/9/13,20:56.0,40002 0.556203842592593
26.5,7,97,7/9/13,25:03.3,40002 0.559065659722222
26.5,7,97,7/9/13,30:03.5,40002 0.562540763888889
26.5,7,97,7/9/13,35:03.8,40002 0.566015891203704
26.5,7,97,7/9/13,40:56.1,40002 0.570093657407407
26.5,7,97,7/9/13,45:03.3,40002 0.572955231481482
26.5,7,97,7/9/13,50:03.6,40002 0.576430231481481
26.5,7,97,7/9/13,55:03.8,40002 0.579905347222222
26.5,7,97,7/9/13,00:56.1,40002 0.583982430555556
26.5,7,97,7/9/13,05:03.3,40002 0.586844236111111
26.5,7,97,7/9/13,10:04.6,40002 0.590331053240741
26.5,7,97,7/9/13,15:05.1,40002 0.593808518518519
26.5,7,97,7/9/13,20:56.3,40002 0.597873287037037
26.562,7,97,7/9/13,25:05.0,40002 0.600752650462963
26.562,7,97,7/9/13,30:03.5,40002 0.604206967592593
26.562,7,97,7/9/13,35:03.7,40002 0.607681967592593
26.562,7,97,7/9/13,40:56.3,40002 0.611762337962963
26.562,7,97,7/9/13,45:03.5,40002 0.614623981481481
26.562,7,97,7/9/13,50:03.8,40002 0.618099224537037
26.562,7,97,7/9/13,55:04.1,40002 0.621574918981482
26.562,7,97,7/9/13,00:55.3,40002 0.625640069444445
26.562,7,97,7/9/13,05:03.6,40002 0.62851369212963
26.562,7,97,7/9/13,10:03.9,40002 0.631989467592593
26.562,7,97,7/9/13,15:03.2,40002 0.635453275462963
26.562,7,97,7/9/13,20:55.8,40002 0.639534409722222
26.625,7,97,7/9/13,25:05.4,40002 0.6424234375
26.625,7,97,7/9/13,30:03.9,40002 0.645878043981481
26.562,7,97,7/9/13,35:04.4,40002 0.649356747685185
26.625,7,97,7/9/13,40:55.9,40002 0.653424305555556
26.562,7,97,7/9/13,45:03.2,40002 0.65628662037037
26.625,7,97,7/9/13,50:03.5,40002 0.659762893518519
26.625,7,97,7/9/13,55:03.9,40002 0.66323974537037
26.625,7,97,7/9/13,00:55.4,40002 0.667307337962963
26.625,7,97,7/9/13,05:03.6,40002 0.670181064814815
26.625,7,97,7/9/13,10:04.0,40002 0.673656886574074
26.625,7,97,7/9/13,15:03.3,40002 0.677121597222222
26.625,7,97,7/9/13,20:55.9,40002 0.681202928240741
26.625,7,97,7/9/13,25:03.2,40002 0.684065335648148
26.625,7,97,7/9/13,30:03.6,40002 0.687541145833333
26.625,7,97,7/9/13,35:03.8,40002 0.691016736111111
26.625,7,97,7/9/13,40:55.5,40002 0.695086747685185
26.625,7,97,7/9/13,45:03.9,40002 0.697961990740741
26.625,7,97,7/9/13,50:03.2,40002 0.701426342592593
26.625,7,97,7/9/13,55:03.6,40002 0.704903101851852
26.625,7,97,7/9/13,00:55.9,40002 0.708980787037037
26.687,7,97,7/9/13,05:03.4,40002 0.711844444444445
26.687,7,97,7/9/13,10:03.7,40002 0.715321064814815
26.625,7,97,7/9/13,15:04.2,40002 0.71879849537037
26.625,7,97,7/9/13,20:55.5,40002 0.722864652777778
26.625,7,97,7/9/13,25:03.8,40002 0.725738206018518
26.625,7,97,7/9/13,30:04.2,40002 0.729215046296296
26.625,7,97,7/9/13,35:03.5,40002 0.73267962962963
26.625,7,97,7/9/13,40:55.8,40002 0.736756944444445
26.625,7,97,7/9/13,45:04.2,40002 0.739631840277778
26.625,7,97,7/9/13,50:03.5,40002 0.743095960648148
26.687,7,97,7/9/13,55:03.8,40002 0.746572060185185
26.687,7,97,7/9/13,00:56.1,40002 0.750649490740741
26.625,7,97,7/9/13,05:03.5,40002 0.7535128125
26.625,7,97,7/9/13,10:03.9,40002 0.756989270833333
26.625,7,97,7/9/13,15:03.2,40002 0.760453946759259
26.687,7,97,7/9/13,20:55.6,40002 0.764532881944444
26.625,7,97,7/9/13,25:04.0,40002 0.767407314814815
26.687,7,97,7/9/13,30:03.4,40002 0.770872476851852
26.625,7,97,7/9/13,35:03.8,40002 0.774349212962963
26.687,7,97,7/9/13,40:56.0,40002 0.778426053240741
26.687,7,97,7/9/13,45:03.3,40002 0.781288333333333
26.687,7,97,7/9/13,50:03.7,40002 0.784765300925926
26.687,7,97,7/9/13,55:04.0,40002 0.78824087962963
26.625,7,97,7/9/13,00:55.3,40002 0.792306388888889
26.687,7,97,7/9/13,05:03.6,40002 0.795180578703704
26.687,7,97,7/9/13,10:03.9,40002 0.79865662037037
26.687,7,97,7/9/13,15:03.3,40002 0.802121678240741
26.687,7,97,7/9/13,20:55.9,40002 0.806202233796296
26.687,7,97,7/9/13,25:03.2,40002 0.809064502314815
26.625,7,97,7/9/13,30:03.5,40002 0.8125403125
26.625,7,97,7/9/13,35:03.9,40002 0.816017395833333
26.625,7,97,7/9/13,40:55.2,40002 0.820083020833333
26.687,7,97,7/9/13,45:03.5,40002 0.822957210648148
26.687,7,97,7/9/13,50:03.8,40002 0.826433252314815
26.687,7,97,7/9/13,55:04.2,40002 0.829909282407407
26.687,7,97,7/9/13,00:55.6,40002 0.833977337962963
26.625,7,97,7/9/13,05:04.0,40002 0.836851886574074
26.625,7,97,7/9/13,10:03.3,40002 0.840316354166667
26.687,7,97,7/9/13,15:03.7,40002 0.84379287037037
26.687,7,97,7/9/13,20:55.4,40002 0.847863958333333
26.687,7,97,7/9/13,25:03.8,40002 0.850738263888889
26.687,7,97,7/9/13,30:04.1,40002 0.85421431712963
26.625,7,97,7/9/13,35:03.5,40002 0.857679849537037
26.687,7,97,7/9/13,40:55.9,40002 0.861757743055556
26.687,7,97,7/9/13,45:03.2,40002 0.864620497685185
26.687,7,97,7/9/13,50:03.6,40002 0.868096875
26.625,7,97,7/9/13,55:04.0,40002 0.871574085648148
26.625,7,97,7/9/13,00:55.4,40002 0.875641435185185
26.687,7,97,7/9/13,05:03.8,40002 0.878515717592593
26.687,7,97,7/9/13,10:04.1,40002 0.881991886574074
26.687,7,97,7/9/13,15:03.5,40002 0.885457384259259
26.625,7,97,7/9/13,20:56.0,40002 0.889537256944445
26.687,7,97,7/9/13,25:03.4,40002 0.892399988425926
26.625,7,97,7/9/13,30:03.7,40002 0.895875914351852
26.625,7,97,7/9/13,35:04.1,40002 0.899352881944445
